tipo_unidade;nome_oficial;rpa;distrito_sanitario;microregiao;cnes;cod_nat;tipo_servico;endereço;bairro;fone;especialidade;como_usar;horario;ordem;latitude;longitude
1|Academia da Cidade;Academia da Cidade Pólo 13 de Maio;1;1;1.1;6865003;Própria;Pólo de Academia da Cidade;Praça 13 de Maio;Santo Amaro;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1520.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.001;-8.0566581935;-34.8801983462
1|Academia da Cidade;Academia da Cidade Pólo ABC;5;5;5.1;7172869;Própria;Pólo de Academia da Cidade;Av Manoel Goncalves da Luz;Mustardinha;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1521.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.002;-8.0733593171;-34.9186726007
1|Academia da Cidade;Academia da Cidade Pólo Alto do Capitão;2;2;2.3;6664237;Própria;Pólo de Academia da Cidade;"Rua Tupiracaba, S/N";Dois Unidos;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1522.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.003;-7.9996434625;-34.9137745743
1|Academia da Cidade;Academia da Cidade Pólo Avenida do Forte;4;4;4.1;6664660;Própria;Pólo de Academia da Cidade;Praça da Av do Forte;Cordeiro;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1523.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.004;-8.0574582242;-34.9312150876
1|Academia da Cidade;Academia da Cidade Pólo Beira Rio;4;4;4.1;6664679;Própria;Pólo de Academia da Cidade;"Av Beira Rio, S/N";Torre;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1524.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.005;-8.0461182155;-34.9040131580
1|Academia da Cidade;Academia da Cidade Pólo Boa Viagem;6;6;6.3;6664911;Própria;Pólo de Academia da Cidade;Segundo Jardim de Boa Viagem;Boa Viagem;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1525.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.006;-8.1060721869;-34.8869433427
1|Academia da Cidade;Academia da Cidade Pólo Brasilia Teimosa;6;6;6.1;6665012;Própria;Pólo de Academia da Cidade;"Av Brasília Formosa, S/N";Brasília Teimosa;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1526.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.007;-8.0813522317;-34.8770102400
1|Academia da Cidade;Academia da Cidade Pólo Buriti;3;7;7.3;7018339;Própria;Pólo de Academia da Cidade;"Av Norte, S/N";Macaxeira;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1527.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.008;-8.0167426715;-34.9293148270
1|Academia da Cidade;Academia da Cidade Pólo Cafesópolis;6;6;6.2;7018525;Própria;Pólo de Academia da Cidade;"Rua Cafesopolis, S/N";Imbiribeira;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1528.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.009;-8.1000230877;-34.9088189256
1|Academia da Cidade;Academia da Cidade Pólo Cavouco;4;4;4.1;7626118;Própria;Pólo de Academia da Cidade;Av Alvares Pereira de Lira;Iputinga;33552820;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1529.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.010;-8.0453331673;-34.9314504727
